path,kind,bytes,sha256_16,note
raw/激光原理与技术 前两章 重点(1).pdf,raw-pdf,2139023,ad904cb9e83c995e,已归档到 raw 层
raw/激光原理与技术-第10章-V2.pdf,raw-pdf,3752532,5029a4fb12a98318,已归档到 raw 层
raw/激光原理与技术-第6章.pdf,raw-pdf,2669105,afaedeb49faddabd,已归档到 raw 层
raw/激光原理与技术-第9章.pdf,raw-pdf,2310452,58b91a086bd85ca7,已归档到 raw 层
raw/激光原理与技术-课程总结 重点.pdf,raw-pdf,891765,2f9139371de229b8,已归档到 raw 层
"raw/激光原理及应用(第四版) (陈家璧) (z-library.sk, 1lib.sk, z-lib.sk).pdf",raw-pdf,20481799,4e2aafbe0c5f1092,已归档到 raw 层
raw/激光原理及应用-陈家璧主编-[课后习题解答]（全）.pdf,raw-pdf,425118,d7001345afc067e6,已归档到 raw 层
raw/README.md,raw-md,592,515aa96ad8383411,已归档到 raw 层
raw/web/Karpathy-LLM-Wiki-资料.md,raw-md,1213,5ffeb6d6b543a2a8,已归档到 raw 层
课后作业-答案汇总.md,raw-md,15617,9a2d124d30a6eca1,根目录 Markdown；暂作为 raw source
